id,text,domain,category,FinalOff,FinalCB
1.32E+18, - ما الذي اختلف عند اليوم حتى يقوم الشعب اللبناني بإعطائه الثقة ؟ إذا كان بعده كما كان من ناحية علاقته بالثنائي الشيعي وسلاح حزب الله والصفقات التي من تحت الطاولة ؟ ! رئيس حكومة أسقطته الثورة .. كيف له عين يرجع على والثورة بعدها ما خلصت ؟ ؟ ! !,Celebrities,Appearance,yes,yes
1.31E+18, أي هجوم إيراني بأي شكل سيواجه برد أقوى بألف مرة,Celebrities,Appearance,no,no
1.29E+18," @USERNAME  ابو علي الحبيب ، دع القافلة تسير فقد ملكت قلوب العرب جميعا ، ودعك من نباح بعض الكلاب …",Celebrities,Appearance,yes,yes
1.31E+18," @USERNAME  تحيه عظيمه من أرض الكنانه لحبيب المصريين نحيطكم علما بأن قلوبنا تقشعر عند سماع صوتك العزب والحنون ، فنتمنى اغنيه بعنوان ( يعني ايه كلمه وطن ) . اخي الكريم صوتك الجليل تلتف حوله قلوب المصريين . اخوك / مهيب الركن بيبرس",Celebrities,Appearance,no,no
1.29E+18, @USERNAME  كل العراق يحبك الله يحفظك . انت اسطورة و نفتخر كعرب اكو هيج فنان راقي مثلك و بطيبة كلب …,Celebrities,Appearance,no,no
1.29E+18," @USERNAME  🇮 🇶 انت كبير بفنك وانسانيتك ، قريب على الشعوب رغماً عن أنف ساستها واذنابهم .",Celebrities,Appearance,no,no
1.31E+18, @USERNAME  @USERNAME  قضيتها بالمحكمة لكن النيابة منعت فريق الدفاع يطلع حتى علي ملف القضية وهذا ظلم ومخالف للقانون . 70 يوم سجن بلا تهمه وبالاخير تقطعوا للقاضي المسؤل عن القضية ؟ ! اعظم الجهاد قول كلمة حق امام سلطان جائز . والساكت عن الحق شيطان اخرس . بالعكس كلام الشيخ صادق مش علشان علشان المساهمين,Celebrities,Appearance,no,no
1.32E+18, @USERNAME  لا و بكل وقاحه بيبرر انه عين قرايبتو,Celebrities,Appearance,yes,yes
1.32E+18, @USERNAME  وحده الوطن يصنع الاحداث ... ويكتبنا كيفما شاء مادمنا حبره . مستغانمي الوطن مخيف اكثر من الزنزانه .. ! ! !,Celebrities,Appearance,no,no
1.32E+18, @USERNAME  ولك خلص بقى لسا الكن عين و تنزلو تويتات بعد كل اللي عملتو بالبلد ! ! !,Celebrities,Appearance,yes,no
1.29E+18," @USERNAME  جماعة بشارمضغوطين لانو ما حدا عبروللخنزير 😂 ، الخنزير بشار بعت مساعداتو للبنان وما حدا شكرو غير حزب الله وق …",Celebrities,Appearance,yes,yes
1.32E+18," @USERNAME  بدك المستشارين "" التجار "" يللي حوله و يللي ورطوه من قبل بالصفاقات والمحصصات يخللوا يعمل عين العقل , بس للأسف ما في نوى ! ! !",Celebrities,Appearance,no,no
1.32E+18, @USERNAME  @USERNAME  سنة إلك وما عملت شي . سنة إلك وما لقطت حدا من الفاسدين أو اللي هربوا . سنة إلك وبعدك مثل الماي بلا طعم وبلا لون وبلا ريحة . ولك عين تهت الثورة بمقابلة مع ريكاردو كلام إنو إنتا مديت إيدك .,Celebrities,Appearance,no,yes
1.32E+18," @USERNAME  @USERNAME  شكلك ما بتتابع أخبار الثورة . الثورة تظاهرت أمام مراكز القرار الثلاثة : السراي ، عين التينة ، والقصر الجمهوري .",Celebrities,Appearance,no,no
1.32E+18, @USERNAME  @USERNAME  شكلك كتير مقهوره من روح تسمع فنانتك دايما صوتها بردانه 😂 😂 😂,Celebrities,Appearance,no,no
1.32E+18, @USERNAME  هودي معقدين ومريضين عقليا ! يا إما بانتباه أو عن غير انتباه وصلوا حالن لmalfunctioning عقلي مخيف ! 🤮,Celebrities,Appearance,yes,yes
1.32E+18, @USERNAME  انت شكلك ما ناوي تفهم انك ما خصك بالثورة انت واحد منن,Celebrities,Appearance,yes,no
1.32E+18, @USERNAME  @USERNAME  ما بوفر حدا من هالطغمة الحاكمة القذرة بس ادعاء الحزب للشرف والتنظير بالعفة مقرف ومقيت,Celebrities,Appearance,yes,yes
1.32E+18," @USERNAME  @USERNAME  شدتني هادي التغريدة القذرة فحبيت ابحث عن من هي لعدم سماعي عنها من قبل وللاسف البحث أظهر ما هو أقذر من التغريدة اعلاميه تبحث عن الشهره بتتبع فضائح خلق الله "" وهذا يدل ع انك حثاله وقذره بحق نفسك وهذا جعلني اتشفع لكي "" بعدم الرد عليكي الا بالله يشفيك يا حثالة خلق الله",Celebrities,Appearance,yes,yes
1.29E+18," @USERNAME  كلماتك كثير بتوجع يا رابعة ، ، بس مثل ما قالت لا تنده اطرش ما بيسمع ، والظالم خي المحتل ، ، ال …",Celebrities,Appearance,no,no
1.32E+18, @USERNAME  لبنان حذارِ من الاجتماعات المُغلقه مع الامريكان واسرائيل التي حدثت عندكم و ستتكرر . وذلك بشأن الحدود البحريه ... لا تسمحوا لفاسد كلب ان يبيع نفسه وشيء على حساب افقاركم الله اكبر على الظالمين,Celebrities,Appearance,yes,yes
1.29E+18, @USERNAME  انه مايعنيله نباح الكلاب ابدا,Celebrities,Appearance,yes,yes
