id,text,domain,category,FinalOff,FinalCB
 text,domain,category,FinalOff,FinalCB
 من رحم المعاناه السوري عبد المولي مبتور الساق يصم الاطراف الصناعيه ويقدم العلاج الطبيعي لمرضي,News,Racial,no,no
 سناب عين المشاهد سناب اخباري متنوع امطار حوادث سرقات تحذيرات منوعات وكل مايهمك تابع السناب من خلال الرابط او لقطه شاشه,Sports,Appearance,no,no
 بعض العرب ودولها اشد خطرا من اليهود انفسهم ولو خيرت ابليس نفسه من يختار صديقا لاختار بعض الدول العربيه,News,Racial,yes,yes
 🇮 🇷 الفارسيه عين العروبه 💛 🖤,News,Appearance,no,no
 حزب اله هو المسيطر علي كل مفاصل واجهزه الدوله البنانيه والشعب البناني يحتاج موقف عربي حازم سياسيا وعسكريا,News,Racial,no,no
 تم بحمد اله افتاح كلانا ونتمني ان نكون عند حسن ظن الجميع ونتشرف بكل لاعب عربي الكلان مختص حاليا في لعبه فورت نايت وسوف نتوسع مستقبلا الي الالعاب الاخري 💜,Gaming,Racial,no,no
 ليس لها ذنب الا انها ولده في بلد مغتصب ومنحور وملعون ابو ساسه,News,Sexual,yes,yes
 قتل شخصان واصيب اخرين جراء انفجار قنبله قرنيت في احد منازل ب عندما عثر عليها في في منزل مهجور قيد الصيانه وتم نقل الجثامين بقيه المصابين الي المستشفي,News,Racial,no,no
 رءيس وزراء الحكومه اليمنيه المكلف معين عبد الملك يعزي الشعب الكويتي بوفاه الشيخ,News,Racial,no,no
 🇾 🇪 ناطق في يوم رحيل اميرالكويت لا نسي موقفه الداعم لمشاورات السلام وكان في كل لقاءمعه يفصح عن حبه ل حرص امير الراحل علي اطفاء نار الحرب في اليمن كان محل احترام وتقدير من الجميع العزيزولاحول ولا قوه الاباله العلي العظيم,News,Racial,no,no
 اغتصاب طفله بعمر عاما و قتلها خنقا علي يد شاب بعمر سنه في منطقه المداءن جنوب شرق,News,Sexual,no,no
 بيقولك مكن يعمل خط احمر في اذربيحان خلي بالك 😱 😱 يانهار اسود,News,Racial,no,no
 وان سءل احدهم ماذا انجزت وجد نفسه خاوي اليدين وظن لوهله انه من الفاشلين فقط ليتذكر انه يملك عينين شاهد بهما لي,Sports,Intelligence,no,no
 اقسم باله العظيم المفروض اي شخص مءيد لتطبيع مع الكيان الصهيوني القذر يحكم بالاعدام هذه تعتبر خيانه,News,Sexual,yes,yes
 في غباء لدرجه دي حسبي اله ونعم الوكيل بطل العرب,News,Intelligence,yes,yes
 كلب الحراسه الصهيوني يثمن موقف من التطبيع مع الكيان الصهيوني شله صهاينه وكلاب حراسه يفزعون لبعض,News,Appearance,yes,yes
 يراهن علي وعي المصرين في يعني العرص لسه واثق ان الشعب لسه حمار,News,Intelligence,yes,yes
